city,locality,property_type,area,bedrooms,bathrooms,furnishing,age,floor,parking,pool,garden,gym,security,lift,power_backup,modular_kitchen,clubhouse,children_play,jogging_track,sports_court,rainwater_harvesting,solar_panels,smart_home,servant_room,price
Chennai,Adyar,Penthouse,3513,4,3,Semi-Furnished,7,16,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,90748357
Mumbai,Juhu,Independent House,2519,5,3,Semi-Furnished,28,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,97896269
Delhi,Rohini,Independent House,2668,3,2,Fully-Furnished,8,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,40692520
Hyderabad,Kondapur,Penthouse,4566,5,3,Unfurnished,35,19,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,44327990
Chennai,Anna Nagar,Apartment,1521,3,2,Fully-Furnished,11,16,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,22241110
Kolkata,New Town,Apartment,1533,3,1,Fully-Furnished,11,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,13773405
Hyderabad,Begumpet,Apartment,2137,3,2,Fully-Furnished,0,7,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,30690339
Chennai,Anna Nagar,Apartment,1804,3,2,Semi-Furnished,2,7,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,22774432
Kolkata,Behala,Apartment,1233,4,3,Semi-Furnished,1,6,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,9942065
Hyderabad,Begumpet,Apartment,735,2,2,Unfurnished,2,21,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,8979285
Mumbai,Thane,Penthouse,2000,4,2,Fully-Furnished,2,36,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,61833422
Delhi,Saket,Independent House,863,2,2,Semi-Furnished,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,24277650
Kolkata,Garia,Studio,549,1,1,Unfurnished,1,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2363604
Pune,Baner,Apartment,500,1,1,Unfurnished,2,2,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,5868145
Bangalore,MG Road,Apartment,2014,3,2,Semi-Furnished,22,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31354133
Bangalore,Whitefield,Apartment,1647,3,2,Semi-Furnished,3,14,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,16153673
Pune,Kothrud,Villa,4114,5,3,Unfurnished,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,64475708
Bangalore,Sarjapur,Apartment,1070,3,2,Unfurnished,15,14,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,8477019
Hyderabad,Secunderabad,Apartment,1747,4,4,Unfurnished,17,18,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,15507973
Bangalore,HSR Layout,Studio,442,1,1,Semi-Furnished,18,18,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,7074881
Bangalore,Koramangala,Studio,428,1,1,Fully-Furnished,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,7068311
Bangalore,Indiranagar,Apartment,816,2,2,Unfurnished,11,21,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,13892734
Ahmedabad,Thaltej,Independent House,3169,5,4,Semi-Furnished,3,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,30128745
Delhi,Vasant Kunj,Penthouse,2873,4,3,Semi-Furnished,8,30,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,115280188
Ahmedabad,Vastrapur,Apartment,1471,3,2,Semi-Furnished,31,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,11023145
Bangalore,Koramangala,Apartment,1098,2,2,Unfurnished,1,18,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,17970038
Hyderabad,Kondapur,Independent House,2379,3,1,Semi-Furnished,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23237937
Delhi,Greater Kailash,Studio,614,1,1,Semi-Furnished,5,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12787483
Pune,Aundh,Villa,2589,5,3,Fully-Furnished,27,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,40331912
Kolkata,Behala,Apartment,1643,3,2,Fully-Furnished,7,24,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,13818160
Mumbai,Goregaon,Villa,3006,6,2,Semi-Furnished,3,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,79194603
Hyderabad,Miyapur,Apartment,2438,5,4,Fully-Furnished,2,12,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,20542993
Bangalore,HSR Layout,Apartment,1336,3,2,Unfurnished,9,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,15740134
Mumbai,Borivali,Independent House,1827,4,2,Fully-Furnished,2,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,46641024
Chennai,T Nagar,Apartment,2500,4,4,Semi-Furnished,4,9,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,46722376
Delhi,Vasant Kunj,Independent House,1474,3,2,Semi-Furnished,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,39309280
Kolkata,Park Street,Apartment,1759,4,3,Unfurnished,0,30,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,26572319
Chennai,Nungambakkam,Apartment,988,3,2,Fully-Furnished,2,2,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,23549610
Kolkata,New Town,Studio,329,1,1,Unfurnished,9,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2299383
Delhi,Saket,Studio,353,1,1,Unfurnished,14,17,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,6070357
Mumbai,Andheri,Apartment,1284,2,2,Unfurnished,7,14,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,29476502
Delhi,Greater Kailash,Villa,3454,5,4,Semi-Furnished,4,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,133733795
Kolkata,New Town,Apartment,1957,4,3,Unfurnished,0,30,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,15411757
Pune,Shivaji Nagar,Apartment,1771,3,2,Fully-Furnished,7,21,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,29808481
Bangalore,JP Nagar,Apartment,1332,4,3,Fully-Furnished,1,24,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,19182362
Delhi,Vasant Kunj,Studio,652,1,1,Fully-Furnished,2,3,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,13725766
Mumbai,Andheri,Studio,693,1,1,Semi-Furnished,9,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11237506
Delhi,Saket,Apartment,2500,3,1,Fully-Furnished,0,30,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,55941729
Delhi,Lajpat Nagar,Apartment,1220,3,2,Unfurnished,7,12,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,21616374
Bangalore,Marathahalli,Villa,3778,5,3,Fully-Furnished,3,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,50633979
Chennai,T Nagar,Independent House,2687,4,3,Fully-Furnished,8,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,59800317
Pune,Kharadi,Apartment,1336,3,2,Unfurnished,3,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12200526
Chennai,Tambaram,Studio,451,1,1,Unfurnished,5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3370516
Bangalore,JP Nagar,Studio,574,1,1,Semi-Furnished,4,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4968004
Pune,Kharadi,Studio,448,1,1,Fully-Furnished,2,3,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5313281
Mumbai,Thane,Villa,2669,5,3,Unfurnished,16,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,43988452
Bangalore,HSR Layout,Studio,749,1,1,Semi-Furnished,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7487335
Ahmedabad,Prahlad Nagar,Studio,633,1,1,Semi-Furnished,5,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4830738
Ahmedabad,Thaltej,Independent House,2209,4,3,Semi-Furnished,11,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,20139379
Delhi,Connaught Place,Apartment,1333,2,2,Semi-Furnished,3,17,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,55546820
Hyderabad,Kondapur,Studio,667,1,1,Fully-Furnished,8,25,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,5128697
Hyderabad,Banjara Hills,Studio,391,1,1,Semi-Furnished,4,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4354978
Mumbai,Dadar,Independent House,1818,3,2,Semi-Furnished,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,65010110
Delhi,Connaught Place,Villa,3107,6,3,Unfurnished,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,184928247
Delhi,Janakpuri,Studio,300,1,1,Fully-Furnished,13,18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3649984
Mumbai,Bandra,Apartment,2130,4,3,Fully-Furnished,3,12,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,80860020
Bangalore,Whitefield,Apartment,1793,3,2,Semi-Furnished,5,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17005155
Hyderabad,Begumpet,Villa,3847,6,3,Fully-Furnished,6,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,66631231
Kolkata,Salt Lake,Penthouse,2544,5,3,Unfurnished,25,29,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,26970371
Bangalore,Electronic City,Apartment,1424,3,2,Fully-Furnished,4,11,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,13751299
Hyderabad,Jubilee Hills,Apartment,820,1,1,Fully-Furnished,0,17,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,18465907
Pune,Hinjewadi,Studio,652,1,1,Unfurnished,5,23,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4154536
Delhi,Saket,Apartment,1282,3,1,Semi-Furnished,8,12,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,29679933
Mumbai,Goregaon,Apartment,1857,4,4,Fully-Furnished,11,22,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,39523441
Mumbai,Powai,Villa,1988,3,2,Fully-Furnished,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,88108988
Mumbai,Dadar,Independent House,3300,4,3,Unfurnished,35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,69212133
Chennai,Porur,Apartment,1999,3,2,Fully-Furnished,11,9,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,17072195
Bangalore,Whitefield,Apartment,1477,2,2,Semi-Furnished,11,24,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,14331578
Hyderabad,Secunderabad,Independent House,2743,4,3,Semi-Furnished,9,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,27688228
Bangalore,Sarjapur,Penthouse,3700,4,2,Semi-Furnished,7,17,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,56844521
Hyderabad,Kondapur,Apartment,1038,2,2,Semi-Furnished,0,23,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,11557087
Chennai,OMR,Studio,525,1,1,Semi-Furnished,10,23,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3906691
Chennai,Adyar,Apartment,1330,3,2,Fully-Furnished,8,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,22050338
Bangalore,JP Nagar,Studio,562,1,1,Semi-Furnished,2,22,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4778575
Hyderabad,Gachibowli,Apartment,2124,4,2,Fully-Furnished,9,8,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,20584951
Mumbai,Bandra,Villa,2469,5,2,Semi-Furnished,14,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,111501816
Mumbai,Borivali,Apartment,1561,3,2,Unfurnished,22,11,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,22672672
Delhi,Karol Bagh,Apartment,1217,3,1,Unfurnished,5,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,18914057
Pune,Shivaji Nagar,Apartment,978,2,2,Fully-Furnished,27,11,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,13286774
Chennai,Mylapore,Independent House,3500,4,3,Unfurnished,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,60678829
Mumbai,Navi Mumbai,Apartment,2248,4,3,Fully-Furnished,4,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,34353628
Bangalore,JP Nagar,Villa,3114,4,3,Semi-Furnished,4,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,45568615
Chennai,Mylapore,Apartment,1417,3,2,Unfurnished,1,8,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,22667867
Pune,Wakad,Studio,300,1,1,Semi-Furnished,8,10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2506384
Mumbai,Juhu,Studio,468,1,1,Unfurnished,6,20,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,14212862
Pune,Hadapsar,Villa,3305,5,3,Semi-Furnished,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,39380257
Hyderabad,Jubilee Hills,Studio,605,1,1,Semi-Furnished,7,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7308942
Pune,Koregaon Park,Villa,2181,4,2,Semi-Furnished,4,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,43488625
Delhi,Janakpuri,Studio,439,1,1,Unfurnished,6,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4931955
Ahmedabad,Thaltej,Apartment,1514,3,1,Semi-Furnished,8,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,15315262
Bangalore,Koramangala,Apartment,1216,3,2,Fully-Furnished,8,21,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,21076430
Mumbai,Goregaon,Independent House,2570,4,3,Semi-Furnished,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,64429787
Bangalore,JP Nagar,Apartment,1915,3,2,Fully-Furnished,24,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,19085444
Mumbai,Juhu,Apartment,1002,3,2,Semi-Furnished,0,22,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,49793172
Delhi,Nehru Place,Apartment,1576,4,3,Unfurnished,13,8,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,24322696
Mumbai,Juhu,Apartment,1111,2,2,Fully-Furnished,6,22,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,56288255
Delhi,Karol Bagh,Villa,2756,5,3,Unfurnished,3,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,63011216
Delhi,Vasant Kunj,Apartment,1804,4,4,Unfurnished,2,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,41491299
Chennai,Porur,Apartment,1472,3,2,Semi-Furnished,1,5,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,15638862
Bangalore,Whitefield,Independent House,2413,4,4,Unfurnished,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,25208518
Mumbai,Powai,Studio,752,1,1,Fully-Furnished,1,14,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,17025236
Mumbai,Malad,Apartment,2029,3,2,Semi-Furnished,7,25,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,31879432
Hyderabad,Jubilee Hills,Studio,697,1,1,Unfurnished,13,23,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6773033
Delhi,Lajpat Nagar,Villa,4003,4,2,Unfurnished,7,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,88800355
Chennai,Tambaram,Apartment,1413,3,2,Fully-Furnished,25,10,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,9836803
Hyderabad,Begumpet,Apartment,1756,4,4,Unfurnished,10,7,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,18632507
Bangalore,Hebbal,Apartment,834,3,2,Fully-Furnished,2,14,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,13202190
Kolkata,Park Street,Apartment,2162,3,2,Semi-Furnished,6,23,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,33503466
Mumbai,Malad,Villa,3792,5,3,Unfurnished,3,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,83944416
Chennai,Nungambakkam,Independent House,1825,3,1,Unfurnished,15,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,34190617
Hyderabad,Madhapur,Studio,589,1,1,Unfurnished,4,10,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4567454
Kolkata,Howrah,Apartment,1404,3,2,Unfurnished,2,4,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,9086256
Delhi,Lajpat Nagar,Studio,463,1,1,Semi-Furnished,0,14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7664652
